domains,tags,price,unicode,descript-IDNA,translate-IDNA,description
xn--5qs043gm4o,"PUNY_IDNA,CJK",11,壱肆零,Chinese/Japanese/Korean,Yi Si Ling,
xn--7or33cz1i,"PUNY_IDNA,CJK",11,小嘎古,Chinese/Japanese/Korean,Xiaogagu,
xn--4gqf1661b,"PUNY_IDNA,CJK",11,苏七一,Chinese/Japanese/Korean,Su Qiyi,
xn--v4q876chxj,"PUNY_IDNA,CJK",11,病柿儿,Chinese/Japanese/Korean,sick persimmon,
xn--qiq305abwg,"PUNY_IDNA,CJK",11,小撸丸,Chinese/Japanese/Korean,Shohinmaru,
xn--7gqu0nv9fxx4d,"PUNY_IDNA,CJK",11,七味子酱,Chinese/Japanese/Korean,shichimizi sauce,
xn--ihqw43bt1a,"PUNY_IDNA,CJK",11,悔不归,Chinese/Japanese/Korean,regret not returning,
xn--4gq34g41ft06a9ne9yg,"PUNY_IDNA,CJK",11,净土一片空白,Chinese/Japanese/Korean,Pure land is blank,
xn--7or316ba,"PUNY_IDNA,CJK",11,木木古,Chinese/Japanese/Korean,Mumugu,
xn--wcso80ahyv,"PUNY_IDNA,CJK",11,美图控,Chinese/Japanese/Korean,Meitu control,
xn--i8s110l,"PUNY_IDNA,CJK",11,雷子,Chinese/Japanese/Korean,Lei Zi,
xn--w4r085g,"PUNY_IDNA,CJK",11,嘉约,Chinese/Japanese/Korean,Kaisei,
xn--2nyw4as3q,"PUNY_IDNA,CJK",11,画皮网,Chinese/Japanese/Korean,Huapi.com,
xn--kkrv36b4sl,"PUNY_IDNA,CJK",11,暗白十,Chinese/Japanese/Korean,dark white ten,
xn--qtr38n,"PUNY_IDNA,CJK",11,宝咂,Chinese/Japanese/Korean,Baosha,
xn--4gqt5yruvxp1ba,"PUNY_IDNA,CJK",11,一大班鳮鳮,Chinese/Japanese/Korean,A large group of Taobao [skewer],
vatersreith,,11,,,,
xn--mbtv33k,"PUNY_IDNA,CJK",22,鑒定,Chinese/Japanese/Korean,鑒定,
xn--7dvr85a,"PUNY_IDNA,CJK",22,甄文,Chinese/Japanese/Korean,甄文,
xn--21xxx,"PUNY_IDNA,CJK",22,獼牜,Chinese/Japanese/Korean,獼牜,
xn--zlv572c,"PUNY_IDNA,CJK",22,暗網,Chinese/Japanese/Korean,暗網,
xn--sound,"PUNY_IDNA,CJK",22,戰扙,Chinese/Japanese/Korean,戰扙,
xn--0et699l,"PUNY_IDNA,CJK",22,少鯰,Chinese/Japanese/Korean,少鯰,
xn--sprr0j,"PUNY_IDNA,CJK",22,壽司,Chinese/Japanese/Korean,壽司,
xn--hero,"PUNY_IDNA,CJK",22,剬剳,Chinese/Japanese/Korean,剬剳,
xn--otx163g,"PUNY_IDNA,CJK",22,鱼然,Chinese/Japanese/Korean,Yuran,
xn--mnq52d,"PUNY_IDNA,CJK",22,兔代,Chinese/Japanese/Korean,Usagi,
xn--kbru3ai78eyr2a,"PUNY_IDNA,CJK",22,十题百分,Chinese/Japanese/Korean,Ten questions percentage,
xn--u2t29l3ta2g120g,"PUNY_IDNA,CJK",22,日月当空曌,Chinese/Japanese/Korean,sun and moon in the sky,
