name,unicode,descript-IDNA,translate-IDNA,tags,expiry,value,maxBid,price,email,description
tozrht,,,,,15/02/2027 01:20:53,0,0,1,,
hrothzt,,,,,15/02/2027 01:20:53,0,0,1,,
angleworm,,,,,18/01/2027 09:59:17,0,1,7,,
xn--bh8ha96t,🌞😎🌞,SUN WITH FACE + SMILING FACE WITH SUNGLASSES + SUN WITH FACE,,PUNY_IDNA,18/01/2027 09:59:17,0,4,11,,
xn--moon,䕻䕴,"Letters + CJK UNIFIED IDEOGRAPH-457B, CJK UNIFIED IDEOGRAPH-4574",啻啴,PUNY_IDNA,18/01/2027 09:59:17,13,57,11,,
xn--good,䕰䕮,"Letters + CJK UNIFIED IDEOGRAPH-4570, CJK UNIFIED IDEOGRAPH-456E",丰丮,PUNY_IDNA,18/01/2027 09:59:17,0,57,11,,
xn--timaxal,㬗㬟㬟㬗㬡,"Letters + CJK UNIFIED IDEOGRAPH-3B17, CJK UNIFIED IDEOGRAPH-3B1F, CJK UNIFIED IDEOGRAPH-3B1F, CJK UNIFIED IDEOGRAPH-3B17, CJK UNIFIED IDEOGRAPH-3B21",㬗㬟㬟㬗㬡,PUNY_IDNA,18/01/2027 09:59:17,0,1559,11,,
bamrush,,,,,18/01/2027 09:59:17,1.010001,4,11,,
throst,,,,,15/02/2027 01:20:53,0,22,11,,
xn--2p8h55h,🪱👑,"Letters + WORM, CROWN",,PUNY_IDNA,18/01/2027 09:59:17,0,0.5,22,,
xn--qg8h71c,😋🌊,"Letters + FACE SAVOURING DELICIOUS FOOD, WATER WAVE",,PUNY_IDNA,18/01/2027 09:59:17,0.4,0.4207,22,,
xn--po8hib,🐡🐵,"Letters + BLOWFISH, MONKEY FACE",,PUNY_IDNA,18/01/2027 09:59:17,2.99,4.21,22,,
xn--mushroom,奴奮奪奺奼奷,Chinese/Japanese/Korean,奴奮奪奺奼奷,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0,24,22,,
xn--fish,埃垿,Chinese/Japanese/Korean,Aiyu,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0,54,22,,
xn--mushrooms,奴奮奿奪奺奼奷,Chinese/Japanese/Korean,奴奮奿奪奺奼奷,"PUNY_IDNA,CJK",18/01/2027 09:59:17,13,24,22,,
oldcute,,,,,18/01/2027 09:59:17,0.5,4,22,,
xn--iy8hj1d,🤍🕸,"Letters + WHITE HEART, SPIDER WEB",,PUNY_IDNA,18/01/2027 09:59:17,7,9,55,,
xn--7bi2588mba,🔥✌🔥,"Letters + FIRE, VICTORY HAND, FIRE",,PUNY_IDNA,18/01/2027 09:59:17,0,4,55,,
xn--vpn,䃗,Letters + CJK UNIFIED IDEOGRAPH-40D7,烗,PUNY_IDNA,18/01/2027 09:59:17,2,4,55,,
xn--w55l,𪞈,Letters + CJK UNIFIED IDEOGRAPH-2A788,𪞈,PUNY_IDNA,18/01/2027 09:59:17,0.001,4,55,,
xn--kitty-7d34d,kitty😻,LATIN SMALL LETTER K + LATIN SMALL LETTER I + LATIN SMALL LETTER T + LATIN SMALL LETTER T + LATIN SMALL LETTER Y + SMILING CAT FACE WITH HEART-SHAPED EYES,kitty😻,PUNY_IDNA,18/01/2027 09:59:17,0,7,55,,
xn--sdka1fb,フワフワ,Japanese,Fluffy,"PUNY_IDNA,Japanese",18/01/2027 09:59:17,0,17,55,,
xn--6r8hnw,😂💛,FACE WITH TEARS OF JOY + YELLOW HEART,,PUNY_IDNA,18/01/2027 09:59:17,0,0.41,55,,
simpledish,,,,,18/01/2027 09:59:17,0,0.4,55,,
kidsnames,,,,,18/01/2027 09:59:17,0.01,4,111,,
xn--xxif,⨇⨄,"Letters + TWO LOGICAL AND OPERATOR, N-ARY UNION OPERATOR WITH PLUS",“Mu”,PUNY_IDNA,18/01/2027 09:59:17,0.001,12,222,,
xn--f28h93c,🤣😁,"Letters + ROLLING ON THE FLOOR LAUGHING, GRINNING FACE WITH SMILING EYES",,PUNY_IDNA,18/01/2027 09:59:17,0,3.1,222,,
xn--i18hb,🗢🗡,"Letters + LIPS, DAGGER KNIFE",femme fatale,PUNY_IDNA,18/01/2027 09:59:17,2.99,10.01,222,,
xn--4fiv938m,➕👑,"Letters + HEAVY PLUS SIGN, CROWN",,PUNY_IDNA,18/01/2027 09:59:17,0.4,50,222,,
xn--cb7ba,침침,"Letters + HANGUL SYLLABLE CIM, HANGUL SYLLABLE CIM",drooling,PUNY_IDNA,18/01/2027 09:59:17,0,4,222,,
xn--80amepv,мираж,Cyrillic (Russian/Ukrainian),a mirage,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,4,222,,
xn--r0y,盷,Chinese/Japanese/Korean,緷,"PUNY_IDNA,CJK",13/02/2027 02:18:29,6,11,222,,
xn--hes,圵,Chinese/Japanese/Korean,嵵,"PUNY_IDNA,CJK",18/01/2027 09:59:17,126,213,222,,
xn--formula,又变变叕収,Chinese/Japanese/Korean,Change and harvest again,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0,37,222,,
xn--power,殿毇毁,Chinese/Japanese/Korean,The palace was destroyed,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0,14,222,,
xn--8pvt78h,本革,Chinese/Japanese/Korean,genuine leather,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0,14,222,,
xn--r0x,爮,Chinese/Japanese/Korean,爮,"PUNY_IDNA,CJK",13/02/2027 02:18:29,6,11,222,,
xn--v4hw420o,☮💛,PEACE SYMBOL + YELLOW HEART,,PUNY_IDNA,18/01/2027 09:59:17,3.99,7,555,,
xn--6r8h0n,💛🕸,"Letters + YELLOW HEART, SPIDER WEB",,PUNY_IDNA,18/01/2027 09:59:17,7,9,555,,
xn--sr8hf2f,🥰💍,"Letters + SMILING FACE WITH SMILING EYES AND THREE HEARTS, RING",,PUNY_IDNA,18/01/2027 09:59:17,40.1,41,555,,
xn--5h8hnq,👃🌼,"Letters + NOSE, BLOSSOM",smell the flowers,PUNY_IDNA,18/01/2027 09:59:17,0,0.1,2222,,
xn--n00b,끟,Letters + HANGUL SYLLABLE GGEUH,Wow,PUNY_IDNA,18/01/2027 09:59:17,0.01,27,2222,,
xn--nckh9tz79m,ケーキ屋,Japanese,cake shop,"PUNY_IDNA,Japanese",18/01/2027 09:59:17,0,4,2222,,
xn--80afpisy,готика,Cyrillic (Russian/Ukrainian),Gothic,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,14,2222,,
xn--d1aeyma,джосс,Cyrillic (Russian/Ukrainian),joss,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,14,2222,,
xn--j1aaclc,колко,Cyrillic (Russian/Ukrainian),how much,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,4,2222,,
xn--80aa6ac2h,малая,Cyrillic (Russian/Ukrainian),small,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,4,2222,,
xn--80afoini,никога,Cyrillic (Russian/Ukrainian),never,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,7,2222,,
xn--m1abbj5a,сочно,Cyrillic (Russian/Ukrainian),juicy,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,4,2222,,
xn--whr773l,通勤,Chinese/Japanese/Korean,commute,"PUNY_IDNA,CJK",18/01/2027 09:59:17,1,7,2222,,
