domain,price,description,for_sale,tags,unicode,descript-IDNA,translate-IDNA,wallet_id,expired,ownership_status,first_seen,last_seen,source_snapshot,updated_at,__checked__
dialecticalmaterialism,7,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
anonone,9,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
timofeji,9,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
1011970,10170,epoch,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
10170,10170,epoch,True,6D,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
hashrunes,10,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
xn--9g8hit,10,,True,PUNY_IDNA,🌝👑,"Letters + FULL MOON WITH FACE, CROWN",,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
xn--h4h2510o,10,,True,PUNY_IDNA,☠👑,"Letters + SKULL AND CROSSBONES, CROWN",,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
19700101,10170,epoch,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
acciontrabajo,11,ES action work,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
alienfistbump,11,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
amazingpoetry,11,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
ambonga,11,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
amwongg,11,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
arealmaps,11,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
arewehere,11,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
arrieiro,11,Galician carrier,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
arroiodaseca,11,PT stream-drought,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
asianextension,11,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
atimise,11,,True,,,,,22catchall,False,active,2026-05-15,2026-05-15,SS=hns_ss-export-tld.20251226_20260107_translated_20260117.adapted.csv;HSD=hns_bob_tlds.csv,2026-05-15T21:54:27,False
