domain,price,description,for_sale,personal_store,auto_renew,tags,unicode,descript-IDNA,translate-IDNA
xn--26hwd1683fba,1,,True,True,True,PUNY_ALT,♻️⚛️,,
xn--6biz918m1uabaa,5,,True,True,True,PUNY_IDNA,🐦✋🐦🐦🌳,,
dialecticalmaterialism,7,,True,True,True,,,,
timofeji,9,,True,True,True,,,,
anonone,999,,True,True,True,,,,
xn--9g8hit,10,,True,True,True,PUNY_IDNA,🌝👑,,
1011970,10,,True,True,True,,,,
hashrunes,10,,True,True,True,,,,
10170,10,,True,True,True,6D,,,
xn--h4h2510o,10,,True,True,True,PUNY_IDNA,☠👑,,
xn--4qsveow,11,Jiang DaDaSheng,True,True,True,"PUNY_IDNA,CJK",姜大声,Chinese/Japanese/Korean,Jiang DaDaSheng
xn--x8t30ksr4c,11,Feng Wuyuan,True,True,True,"PUNY_IDNA,CJK",风无怨,Chinese/Japanese/Korean,Feng Wuyuan
xn--tfr361du9f,11,Shen Liman,True,True,True,"PUNY_IDNA,CJK",沈力男,Chinese/Japanese/Korean,Shen Liman
focillate,11,IT 'focus | Latin 'mobilize',True,True,True,,,,
centones,11,,True,True,True,,,,
bogearth,11,,True,True,True,,,,
deosculate,11,to kiss affectionately,True,True,True,,,,
sadguide,11,,True,True,True,,,,
dadstrain,11,,True,True,True,,,,
dadworry,11,,True,True,True,,,,
mompolicy,11,,True,True,True,,,,
lowlust,11,,True,True,True,,,,
momdear,11,,True,True,True,,,,
lowrage,11,,True,True,True,,,,
itchfor,11,,True,True,True,,,,
muggleworld,11,,True,True,True,,,,
footdragon,11,,True,True,True,,,,
dragonpair,11,,True,True,True,,,,
dragonfoot,11,,True,True,True,,,,
bluetoothearrings,11,,True,True,True,,,,
headrhyme,11,,True,True,True,,,,
amazingpoetry,11,,True,True,True,,,,
bikehazard,11,,True,True,True,,,,
fiddypence,11,,True,True,True,,,,
rugminter,11,,True,True,True,,,,
goodyearmaps,,,False,False,True,,,,
unh-unh,11,,True,True,True,,,,
inacura,11,,True,True,True,,,,
feedlet,11,,True,True,True,,,,
confuciuss,11,,True,True,True,,,,
longfunny,11,,True,True,True,,,,
thunder-god,11,,True,True,True,,,,
asianextension,11,,True,True,True,,,,
thiscanbeseen,11,,True,True,True,,,,
alienfistbump,11,,True,True,True,,,,
unicornsnot,11,,True,True,True,,,,
arewehere,11,,True,True,True,,,,
gasparks,11,,True,True,True,,,,
gashort,11,,True,True,True,,,,
gashepherd,11,,True,True,True,,,,
gasavage,11,,True,True,True,,,,
gasellers,11,,True,True,True,,,,
ox-eye,11,,True,True,True,,,,
omejie,11,mis-spelling of 'emojie',True,True,True,,,,
tellsus,11,,True,True,True,,,,
tindwari,11,A Northern Indian town and a nagar panchayat (area transitioning from rural to urban) in Banda district in the state of Uttar Pradesh.,True,True,True,,,,
sucy-en-brie,11,https://en.wikipedia.org/wiki/Sucy-en-Brie,True,True,True,,,,
nuevovigia,11,"Panama, Central America",True,True,True,,,,
surfpismo,11,,True,True,True,,,,
nuevoguarare,11,"Panama, Central America",True,True,True,,,,
tufanganj,11,An Eastern Indian city and a municipality of Cooch Behar district in the state of West Bengal.,True,True,True,,,,
acciontrabajo,11,ES action work,True,True,True,,,,
starttravel,,,False,False,True,,,,
silkcotton,11,,True,True,True,,,,
arealmaps,11,,True,True,True,,,,
firstcaribbean,11,,True,True,True,,,,
friendlyfellow,11,,True,True,True,,,,
createyourhappy,11,,True,True,True,,,,
inmatesontheweb,11,,True,True,True,,,,
gulfwartimeline,11,,True,True,True,,,,
electricwelding,11,,True,True,True,,,,
hiddenbookshelf,11,,True,True,True,,,,
autospecialties,11,,True,True,True,,,,
blankbackground,11,,True,True,True,,,,
fightingchairs,11,,True,True,True,,,,
christmasraffle,11,,True,True,True,,,,
